,SKU,Product_Name,Category,main_category,sub_category,Is_Bridal,Has_Discount,is_bestseller,Definition,Product_URL,Extra_Detail_on_Product,Delivery_Time,NeckPiece_Type,Earing_Type,Haaram_Length,Earring_Length,Dome_Width,Available_Options,Availability_Rope_Addon,Availability_Chain_Addon,Availability_Size_2.4,Availability_Size_2.6,Availability_Size_2.8,Availability_Size_2.10,Availability,Size_2.4_availability,Size_2.6_availability,Size_2.8_availability,Size_2.10_availability,Any_Size_Available,Rope_Cost,Chain_Cost,Size_2.4_Cost,Size_2.6_Cost,Size_2.8_Cost,Size_2.10_Cost,Base_Price_Without_Addon,Discounted_Base_Price_Without_Addon,Final_Price_with_Rope_Addon,Final_Price_with_Chain_Addon,american,antique,indo,kerala,mediterranean,traditional,royal,victorian,vintage,western,work,party,bold,invisible,goddess,floral,coin,krishna,lakshmi,maangaz,peacock,tamara,temple,coral,beaded,emerald,pearl,ruby,stoned
514,M25746,thoogira dual line haaram- Temple desighner,"Golden Jewellery, Haaram, Re Stocks",Golden Jewellery,Haaram,0,0,0,antique black gold finished goddess lakshmi and elephant designed dual layered real gold replica designed haaram set,https://madeforhers.in/product/thoogira-dual-line-haaram/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.9,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,2629,No Discount,2629,2689,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
515,M73532,Thuzhay version 2 bridal haaram,"Exclusive, Golden Jewellery, Haaram, New Arrivals",Golden Jewellery,Haaram,0,0,0,antique gold finished  peacock designed temple designer real gold inspired five layered strawberry beaded with kempu stone long haaram set  comes with the bold jhumkas,https://madeforhers.in/product/thuzhay-version-2-bridal-haaram/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.6,0.8,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,4179,No Discount,4179,4239,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
516,M45847,Triveni – lakshmi coin haaram- coinn,"Golden Jewellery, Haaram, Neckpiece, Re Stocks",Golden Jewellery,Haaram,0,0,0,"Matte gold finished goddess lakshmi coin designed haaram set, comes with a pair of light weighted earrings.",https://madeforhers.in/product/triveni-lakshmi-coin-haaram/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.9,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,1729,No Discount,1729,1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
517,M98923,tulasi haaram set,"Golden Jewellery, Haaram, New Arrivals",Golden Jewellery,Haaram,0,0,0,antique gold finished goddess Lakshmi and ball worked real gold inspired long haaram set with jhumkas,https://madeforhers.in/product/tulasi-haaram-set/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.4,0.4,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,1549,No Discount,Not Applicable,Not Applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
518,M62258,Tushra – angaraka haaram set- exclusive,"Exclusive, Golden Jewellery, Haaram, New Arrivals, Re Stocks",Golden Jewellery,Haaram,0,0,0,"antique gold finished goddess Lakshmi , peacock and coral red 3d worked haaram  set comes with the bold jhumkies",https://madeforhers.in/product/tushra-angaraka-haaram-set/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,2.2,1.1,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,5299,No Discount,5299,5359,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
519,M59189,Vaamika – Temple gold designed haaram set,"Haaram, Re Stocks",Golden Jewellery,Haaram,0,0,0,"Antique gold finished goddess lakshmi and floral designed temple haaram set, comes with a pair of light weighted jhumkas.",https://madeforhers.in/product/vaamika-temple-gold-designed-haaram-set/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,5,0.6,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,1979,No Discount,1979,2039,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
520,M23999,vaar kuzhali pearl haaram – aadi,"Golden Jewellery, Haaram, Re Stocks",Golden Jewellery,Haaram,0,1,1,matte gold finished four layered rice pearl worked ruby and green stoned worked long haaram,https://madeforhers.in/product/vaar-kuzhali-pearl-haaram/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,14,2,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,1699,1629,1629,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
521,M23252,vaibhavi jadau victorian haaram – mint green,"American Diamond, Bridal Wears, Exclusive, Haaram",Golden Jewellery,Haaram,0,1,1,antique gold finished real gold inspired exquisite premium jadau stone worked floral designed cluster pearl and english colour beaded long haaram set,https://madeforhers.in/product/vaibhavi-jadau-victorian-haaram/,No extra details available for this product,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,8499,7899,Not Applicable,Not Applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
522,M39483,Vaideki kundan haaram,"Golden Jewellery, Haaram",Golden Jewellery,Haaram,0,0,0,Antique gold finished goddess Lakshmi side mogapu chain jadau and kundan stone worked cluster pearl layered long haaram set,https://madeforhers.in/product/vaideki-kundan-haaram/,The length of the haaram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,7.5,1.5,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,3199,No Discount,3199,3259,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
523,M45916,Valli – temple designer nagasi haaram – Engagement look,"Golden Jewellery, Haaram",Golden Jewellery,Haaram,0,0,0,Antique black gold finished goddess Lakshmi and peacock desighned temple designer bridal long haaram set with jhumkas,https://madeforhers.in/product/valli-temple-designer-haaram/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",Not Applicable,pushback,Not Applicable,1.7,0.4,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,2489,No Discount,Not Applicable,Not Applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
524,M55285,Vannam layered jadau temple designer haaram,"Golden Jewellery, Haaram, New Arrivals",Golden Jewellery,Haaram,0,0,0,"antique gold finished goddess Lakshmi , peacock designed premium jadau stone worked temple designer rice golden beaded work and dual layered real gold inspired long haaram set comes with the jhumkas",https://madeforhers.in/product/vannam-layered-jadau-temple-designer-haaram/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.5,0.8,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,2679,No Discount,Not Applicable,Not Applicable,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0
525,M94553,Varadha haaram,"Golden Jewellery, Haaram, New Arrivals",Golden Jewellery,Haaram,0,0,0,antique gold finished mangaaz designed real gold inspired mid length haaram set comes with the earstud,https://madeforhers.in/product/varadha-haaram/,The length of the harram can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,8,0.3,Not Applicable,Not Applicable,0,0,0,0,0,0,Out of stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,0,0,0,1249,No Discount,Not Applicable,Not Applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,M26172,Vedha real gold inspired jadau haaram,"Exclusive, Golden Jewellery, Haaram, New Arrivals",Golden Jewellery,Haaram,0,0,0,antique gold finished peacock designed premium jadau stone worked real gold inspired long haaram set comes with the statement earrings,https://madeforhers.in/product/vedha-real-gold-inspired-jadau-haaram/,The length of the necklace can be adjust it to your preference using the back rope or back chain attachment.,"We take 3 business days to ship any product. After the shipment, it takes 5 to 9 Working Days to reach you.",backrope,pushback,Not Applicable,1.6,Not Applicable,"Rope, Chain",1,1,0,0,0,0,In stock,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,0,60,0,0,0,0,4444,No Discount,4444,4504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
